model,threshold,accuracy,precision,recall,f1
Random Forest,0.5,0.6636729598206323,0.3057791162573342,0.5819361639052669,0.40090314967777074
Random Forest,0.4,0.34680501414048764,0.21857944799625761,0.9234493889785566,0.35348854803018553
Random Forest,0.35,0.22748987235343576,0.19890187039686325,0.9891959550709839,0.33120660847123956
Random Forest,0.3,0.19941909348008865,0.19439760465220654,0.9987153727066109,0.32544759778455196
Logistic Regression,0.5,0.629079721776351,0.28672644916447326,0.6171810665700451,0.39154920747698707
Logistic Regression,0.4,0.46130474661774823,0.24022999520843316,0.8257188971968774,0.3721800325145313
Logistic Regression,0.35,0.3726655456189967,0.22243497816309238,0.8992061662110082,0.35664687399975176
Logistic Regression,0.3,0.2947145150194909,0.209136181362827,0.951711189433117,0.34291716366096386
Gradient Boosting,0.5,0.8119569925348417,0.6255625562556255,0.06867815145426398,0.123768253591357
Gradient Boosting,0.4,0.810154398838187,0.5307983099844341,0.1572515563753747,0.2426244504866211
Gradient Boosting,0.35,0.8032816122703763,0.48189030700241464,0.23008004216212655,0.31145494270299195
Gradient Boosting,0.3,0.7850582180437718,0.4272766323024055,0.327645838136961,0.37088685471392085
