feature,importance
num__CRS_ARR_HOUR,0.12922542241845086
num__CRS_DEP_HOUR,0.1278339843160038
num__ORIGIN_PRCP,0.07026330238809131
num__DEST_PRCP,0.06719829740264549
num__DEST_WSF2,0.03142683259953984
num__ORIGIN_WSF2,0.026756864913291177
num__ORIGIN_TMIN,0.02658905263761529
num__ORIGIN_TMAX,0.024057361741491323
num__ORIGIN_TAVG,0.02257742384925028
num__MONTH,0.020496844994505815
num__DEST_TMIN,0.019264938517147348
cat__OP_UNIQUE_CARRIER_DL,0.017575261451132723
num__ORIGIN_Air_Carrier,0.017417855755132477
num__DEST_AWND,0.017410313257339213
num__DEST_TAVG,0.01731109864970131
num__ORIGIN_Total_Itinerant,0.016386699288258012
num__DEST_TMAX,0.016204005304209863
num__DEST_Air_Carrier,0.015461305348109279
num__ORIGIN_Total_Operations,0.014849267504791461
num__ORIGIN_AWND,0.014541365109776352
num__DEST_Total_Itinerant,0.013623350314800354
num__DEST_Total_Operations,0.0132350511445168
num__CRS_ELAPSED_TIME,0.012928927840528213
num__DISTANCE,0.012473490572758802
num__ORIGIN_Air_Taxi,0.012033874531612967
num__DEST_Air_Taxi,0.011469848632100321
num__ORIGIN_General_Aviation,0.010895455026853622
num__DEST_General_Aviation,0.010723107938085402
num__ORIGIN_SNWD,0.01041422204077463
num__ORIGIN_Military_Itinerant,0.009048342737984274
num__FL_DAY,0.008811889475593972
num__ORIGIN_Local_Total,0.006546884787671708
num__DEST_Military_Itinerant,0.006543329884739114
num__DAY_OF_WEEK,0.006466115151106265
num__ORIGIN_Local_Civil,0.005136737224429977
cat__OP_UNIQUE_CARRIER_B6,0.004583314830154187
cat__OP_UNIQUE_CARRIER_WN,0.003875076405697309
num__DEST_Local_Total,0.0038357431489607547
num__DEST_Local_Civil,0.0037867222740571083
cat__OP_UNIQUE_CARRIER_F9,0.0035997300212307964
num__DEST_SNWD,0.0028813392382369203
cat__DEST_STATE_ABR_GA,0.0028681595638245156
cat__DEST_STATE_ABR_CA,0.0024507694955085563
cat__DEST_ATL,0.00243432196135944
cat__DEST_SFO,0.002256091796559526
cat__ORIGIN_STATE_ABR_GA,0.0021321235995238282
cat__DEST_EWR,0.002116240575209133
cat__OP_UNIQUE_CARRIER_OO,0.002003725591835609
cat__ORIGIN_STATE_ABR_HI,0.0018251218374273003
cat__ORIGIN_ATL,0.0017173785216585305
num__ORIGIN_Local_Military,0.0016963999517293387
cat__ORIGIN_STATE_ABR_IL,0.0016794412049481503
cat__DEST_STATE_ABR_NJ,0.0015436396920685558
cat__ORIGIN_STATE_ABR_FL,0.001508717188261532
num__DEST_Local_Military,0.001493706456837957
cat__DEST_STATE_ABR_NY,0.0014399425382228908
cat__OP_UNIQUE_CARRIER_AA,0.0014146681142086584
cat__ORIGIN_STATE_ABR_CA,0.0013939365918349813
cat__DEST_STATE_ABR_UT,0.0013869769756101758
cat__DEST_STATE_ABR_HI,0.001376877294386982
cat__ORIGIN_ORD,0.0013757464538519803
cat__ORIGIN_STATE_ABR_UT,0.0012468217914157359
cat__DEST_SLC,0.0011420387487875237
cat__DEST_STATE_ABR_FL,0.001104962535870089
cat__ORIGIN_STATE_ABR_TX,0.0010664782104227802
cat__ORIGIN_MSP,0.001040066911128343
cat__DEST_LGA,0.00100653881911472
cat__ORIGIN_SLC,0.000998900344076947
cat__OP_UNIQUE_CARRIER_UA,0.0009937927249527641
cat__OP_UNIQUE_CARRIER_HA,0.0009023204940597454
cat__ORIGIN_EWR,0.000897167027147555
cat__OP_UNIQUE_CARRIER_NK,0.000874659342675849
cat__DEST_STATE_ABR_MN,0.0008611441064200687
cat__ORIGIN_STATE_ABR_NJ,0.0008592809870012896
cat__ORIGIN_SFO,0.000836121427614889
cat__DEST_STATE_ABR_TX,0.0007960586278007079
cat__OP_UNIQUE_CARRIER_YX,0.0007955824665063455
cat__ORIGIN_DFW,0.0007837072597205422
cat__OP_UNIQUE_CARRIER_G4,0.0007822639827730438
cat__DEST_MSP,0.0007709109401786469
cat__OP_UNIQUE_CARRIER_AS,0.0007669308667216107
